,Larger City,Second City,Population City 1,Population City 2,Population_x,Distance (km),Estimated Cost,Cost per person,Cost per person per km,Name_x,Population_y,Name_y,Population
109,Jacksonville,New Orleans,,,3000000,879,"$17,580,000,000.00","$5,860.00",$6.67,Jacksonville,187589,New Orleans,1452502
110,Houston,San Antonio,,,8500000,318,"$6,360,000,000.00",$748.24,$2.35,Houston,6177035,San Antonio,2234003
111,El Paso,San Antonio,,,3200000,887,"$17,740,000,000.00","$5,543.75",$6.25,El Paso,1045180,San Antonio,2234003
112,Kansas City,Omaha,,,3200000,300,"$6,000,000,000.00","$1,875.00",$6.25,Kansas City,2376631,Omaha,922051
113,Miami,Orlando,,,9200000,380,"$7,600,000,000.00",$826.09,$2.17,Miami,6375434,Orlando,2920603
114,Buffalo,Rochester,1213668,,3000000,123,"$2,460,000,000.00",$820.00,$6.67,Buffalo,1213668,Rochester,248979
115,Buffalo,Rochester,1213668,,3000000,123,"$2,460,000,000.00",$820.00,$6.67,Buffalo,1213668,Rochester,1177566
116,Portland,Sacramento,,,5600000,933,"$18,660,000,000.00","$3,332.14",$3.57,Portland,2992924,Sacramento,2462722
117,Portland,Sacramento,,,5600000,933,"$18,660,000,000.00","$3,332.14",$3.57,Portland,625726,Sacramento,2462722
118,Phoenix,Tucson,,,5300000,187,"$3,740,000,000.00",$705.66,$3.77,Phoenix,4329534,Tucson,1039697
