Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population MetropolitanArea,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Country population,Percent of country's population,Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Chittagong,Chittagong,Bangladesh,Asia,,,,,"4,009,423",,"74,900,825",1.80%,,,163624000,,,,,,,22.333,91.8
Khulna,Khulna,Bangladesh,Asia,,,,,"1,500,000",,"78,910,248",1.89%,,,163624000,,,,,,,22.8,89.55
Minsk,,Belarus,Europe,,,,,"2,002,600",,,,,,9495800,,,,,,,,
Brussels,,Belgium,Europe,,,,,"2,089,000",,"82,412,848",1.98%,,,11385000,,,,,,,50.8,4.4
Antwerpen,,Belgium,Europe,,,,,"990,000",,"84,501,848",2.03%,,,11385000,,,,,,,51.25,4.4
Cotonou,,Benin,Africa,,,,,"779,314",,,,,,11002000,,,,,,,,
Porto Novo,,Benin,Africa,,,,,"267,191",,#REF!,#REF!,,,11002000,,,,,,,7,3
Santa Cruz de la Sierra,,Bolivia,South America,,,,,"1,986,855",,,,,,11410615,,,,,,,-17.85,-63.15
La Paz,,Bolivia,South America,,,,,"1,849,504",,,,,,11410615,,,,,,,-16.5,-68.1
Cochabamba,,Bolivia,South America,,,,,"1,227,044",,,,,,11410615,,,,,,,-17.4,-66.15
Gaborone,,Botswana,Africa,,,,,"421,907",,,,,,2230905,,,,,,,-25,26
São Paulo,,Brazil,South America,,,,,"21,242,939",,,,,,208372000,,,,,,,-23.3,-46.5
Rio de Janeiro,,Brazil,South America,,,,,"12,330,186",,,,,,208372000,,,,,,,-23,-43.25
Belo Horizonte,,Brazil,South America,,,,,"5,873,841",,,,,,208372000,,,,,,,-19.85,-43.9
Distrito Federal e Entorno (Brasilia),,Brazil,South America,,,,,"4,284,676",,,,,,208372000,,,,,,,-15.7,-47.75
Porto Alegre,,Brazil,South America,,,,,"4,276,475",,,,,,208372000,,,,,,,-30,-51.25
Fortaleza,,Brazil,South America,,,,,"4,019,213",,,,,,208372000,,,,,,,-3.75,-38.5
Salvador,,Brazil,South America,,,,,"3,984,583",,,,,,208372000,,,,,,,-13,-38.5
Recife,,Brazil,South America,,,,,"3,940,456",,,,,,208372000,,,,,,,-8,-34.85
Curitiba,,Brazil,South America,,,,,"3,537,894",,,,,,208372000,,,,,,,-25.45,-49.25
Campinas,,Brazil,South America,,,,,"3,131,528",,,,,,208372000,,,,,,,-22.9,-47.05
Manaus,,Brazil,South America,,,,,"2,568,817",,,,,,208372000,,,,,,,-3.1,-60
Vale do Paraíba e Litoral Norte,,Brazil,South America,,,,,"2,475,879",,,,,,208372000,,,,,,,-22.5,-44.15
Goiânia,,Brazil,South America,,,,,"2,458,504",,,,,,208372000,,,,,,,-16.7,-49.25
Belém,,Brazil,South America,,,,,"2,422,481",,,,,,208372000,,,,,,,-1.5,-48.5
Vitória,,Brazil,South America,,,,,"1,935,483",,,,,,208372000,,,,,,,-20.25,-40.25
Sorocaba,,Brazil,South America,,,,,"1,908,425",,,,,,208372000,,,,,,,-23.5,-47.45
Baixada Santista,,Brazil,South America,,,,,"1,813,033",,,,,,208372000,,,,,,,-23.9,-46.4
São Luís,,Brazil,South America,,,,,"1,605,305",,,,,,208372000,,,,,,,-2.5,-44.25
