"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2001","2001","PER","Persons","0","Units",,,558242,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2002","2002","PER","Persons","0","Units",,,563450,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2003","2003","PER","Persons","0","Units",,,568760,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2004","2004","PER","Persons","0","Units",,,574149,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2005","2005","PER","Persons","0","Units",,,579640,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2006","2006","PER","Persons","0","Units",,,585192,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2007","2007","PER","Persons","0","Units",,,590863,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2008","2008","PER","Persons","0","Units",,,596616,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2009","2009","PER","Persons","0","Units",,,602465,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2010","2010","PER","Persons","0","Units",,,608420,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2011","2011","PER","Persons","0","Units",,,614454,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2012","2012","PER","Persons","0","Units",,,620587,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2013","2013","PER","Persons","0","Units",,,626826,,
"AT002","Graz","POP","Total population of the metropolitan area (persons)","2014","2014","PER","Persons","0","Units",,,633168,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2000","2000","PC","Percentage","0","Units",,,6.91,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2001","2001","PC","Percentage","0","Units",,,6.96,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2002","2002","PC","Percentage","0","Units",,,6.99,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2003","2003","PC","Percentage","0","Units",,,7.02,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2004","2004","PC","Percentage","0","Units",,,7.05,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2005","2005","PC","Percentage","0","Units",,,7.07,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2006","2006","PC","Percentage","0","Units",,,7.09,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2007","2007","PC","Percentage","0","Units",,,7.13,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2008","2008","PC","Percentage","0","Units",,,7.18,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2009","2009","PC","Percentage","0","Units",,,7.23,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2010","2010","PC","Percentage","0","Units",,,7.29,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2011","2011","PC","Percentage","0","Units",,,7.34,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2012","2012","PC","Percentage","0","Units",,,7.38,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2013","2013","PC","Percentage","0","Units",,,7.42,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2014","2014","PC","Percentage","0","Units",,,7.44,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2000","2000","RATIO","Ratio","0","Units",,,179.92,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2001","2001","RATIO","Ratio","0","Units",,,181.59,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2002","2002","RATIO","Ratio","0","Units",,,183.28,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2003","2003","RATIO","Ratio","0","Units",,,185.01,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2004","2004","RATIO","Ratio","0","Units",,,186.76,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2005","2005","RATIO","Ratio","0","Units",,,188.55,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2006","2006","RATIO","Ratio","0","Units",,,190.36,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2007","2007","RATIO","Ratio","0","Units",,,192.2,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2008","2008","RATIO","Ratio","0","Units",,,194.07,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2009","2009","RATIO","Ratio","0","Units",,,195.97,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2010","2010","RATIO","Ratio","0","Units",,,197.91,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2011","2011","RATIO","Ratio","0","Units",,,199.87,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2012","2012","RATIO","Ratio","0","Units",,,201.87,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2013","2013","RATIO","Ratio","0","Units",,,203.9,,
"AT002","Graz","POP_DENS","Population density (persons per km2)","2014","2014","RATIO","Ratio","0","Units",,,205.96,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2000","2000","PER","Persons","0","Units",,,582430,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2001","2001","PER","Persons","0","Units",,,584733,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2002","2002","PER","Persons","0","Units",,,587056,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2003","2003","PER","Persons","0","Units",,,589409,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2004","2004","PER","Persons","0","Units",,,591786,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2005","2005","PER","Persons","0","Units",,,594181,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2006","2006","PER","Persons","0","Units",,,596596,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2007","2007","PER","Persons","0","Units",,,599043,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2008","2008","PER","Persons","0","Units",,,601505,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2009","2009","PER","Persons","0","Units",,,604006,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2010","2010","PER","Persons","0","Units",,,606514,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2011","2011","PER","Persons","0","Units",,,609054,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2012","2012","PER","Persons","0","Units",,,611622,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2013","2013","PER","Persons","0","Units",,,614214,,
"AT003","Linz","POP","Total population of the metropolitan area (persons)","2014","2014","PER","Persons","0","Units",,,616829,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2000","2000","PC","Percentage","0","Units",,,7.28,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2001","2001","PC","Percentage","0","Units",,,7.29,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2002","2002","PC","Percentage","0","Units",,,7.28,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2003","2003","PC","Percentage","0","Units",,,7.28,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2004","2004","PC","Percentage","0","Units",,,7.27,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2005","2005","PC","Percentage","0","Units",,,7.24,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2006","2006","PC","Percentage","0","Units",,,7.23,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2007","2007","PC","Percentage","0","Units",,,7.23,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2008","2008","PC","Percentage","0","Units",,,7.24,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2009","2009","PC","Percentage","0","Units",,,7.25,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2010","2010","PC","Percentage","0","Units",,,7.26,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2011","2011","PC","Percentage","0","Units",,,7.27,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2012","2012","PC","Percentage","0","Units",,,7.27,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2013","2013","PC","Percentage","0","Units",,,7.27,,
"AT003","Linz","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2014","2014","PC","Percentage","0","Units",,,7.25,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2000","2000","RATIO","Ratio","0","Units",,,165.29,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2001","2001","RATIO","Ratio","0","Units",,,165.94,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2002","2002","RATIO","Ratio","0","Units",,,166.6,,
"AT003","Linz","POP_DENS","Population density (persons per km2)","2003","2003","RATIO","Ratio","0","Units",,,167.27,,
